[72, 2756, 'off', 4]
[84, 2756, 'on', 1]
[64, 2756, 'off', 3]
[72, 2767, 'on', 2]
[67, 2767, 'off', 2]
[76, 2778, 'on', 2]
[72, 2779, 'off', 2]
[79, 2789, 'on', 2]
[76, 2790, 'off', 2]
[84, 2800, 'off', 1]
[84, 2800, 'on', 4]
[79, 2800, 'off', 2]
[88, 2810, 'on', 4]
[84, 2811, 'off', 4]
[91, 2821, 'off', 1]
[91, 2821, 'on', 4]
[88, 2822, 'off', 4]
[96, 2833, 'on', 4]
[91, 2846, 'off', 1]
[91, 2846, 'on', 2]
[96, 2847, 'off', 4]
[88, 2861, 'on', 2]
[84, 2877, 'on', 2]
[88, 2879, 'off', 2]
[79, 2897, 'on', 2]
[84, 2898, 'off', 2]
[79, 2916, 'off', 2]
[72, 2920, 'on', 5]
[75, 2920, 'on', 4]
[79, 2920, 'on', 4]
[87, 2920, 'on', 2]
[84, 2930, 'on', 2]
[87, 2931, 'off', 2]
[70, 2940, 'on', 5]
[75, 2940, 'off', 4]
[79, 2940, 'off', 4]
[79, 2940, 'on', 2]
[84, 2941, 'off', 2]
[72, 2942, 'off', 5]
[69, 2950, 'on', 5]
[84, 2950, 'on', 2]
[70, 2950, 'off', 5]
[79, 2950, 'off', 2]
[84, 2958, 'off', 2]
[67, 2959, 'on', 5]
[75, 2959, 'on', 4]
[79, 2959, 'on', 4]
[87, 2959, 'on', 2]
[69, 2960, 'off', 5]
[84, 2969, 'on', 2]
[87, 2969, 'off', 2]
[75, 2978, 'off', 4]
[79, 2978, 'off', 4]
[79, 2978, 'on', 2]
[84, 2979, 'off', 2]
[84, 2988, 'on', 2]
[79, 2989, 'off', 2]
[75, 2998, 'on', 4]
[79, 2998, 'on', 4]
[87, 2998, 'on', 2]
[84, 2998, 'off', 2]
[84, 3007, 'on', 2]
[87, 3008, 'off', 2]
[69, 3017, 'on', 5]
[75, 3017, 'off', 4]
[79, 3017, 'off', 4]
[79, 3017, 'on', 2]
[84, 3018, 'off', 2]
[67, 3019, 'off', 5]
[70, 3027, 'on', 5]
[84, 3027, 'on', 2]
[69, 3027, 'off', 5]
[79, 3027, 'off', 2]
[84, 3036, 'off', 2]
[72, 3036, 'on', 5]
[75, 3036, 'on', 4]
[79, 3036, 'on', 4]
[87, 3036, 'on', 2]
[70, 3037, 'off', 5]
[84, 3046, 'on', 2]
[87, 3047, 'off', 2]
[72, 3054, 'off', 5]
[72, 3056, 'on', 5]
[75, 3056, 'off', 4]
[79, 3056, 'off', 4]
[79, 3056, 'on', 2]
[84, 3056, 'off', 2]
[75, 3065, 'on', 5]
[84, 3065, 'on', 2]
[72, 3066, 'off', 5]
[79, 3066, 'off', 2]
[84, 3073, 'off', 2]
[74, 3075, 'on', 3]
[78, 3075, 'on for the first time', 3]
[81, 3075, 'on', 4]
[86, 3075, 'on', 4]
[93, 3075, 'off', 1]
[93, 3075, 'on', 2]
[75, 3076, 'off', 5]
[90, 3085, 'on for the first time', 2]
[69, 3094, 'on', 5]
[86, 3094, 'off', 4]
[86, 3094, 'on', 2]
[90, 3095, 'off for the first time', 2]
[69, 3103, 'off', 5]
[90, 3103, 'on', 2]
[90, 3112, 'off', 2]
[62, 3113, 'on', 5]
[93, 3113, 'off', 1]
[93, 3113, 'on', 2]
[62, 3122, 'off', 5]
[90, 3122, 'on', 2]
[57, 3132, 'on', 5]
[86, 3132, 'off', 4]
[86, 3132, 'on', 2]
[90, 3132, 'off', 2]
[57, 3141, 'off', 5]
[90, 3141, 'on', 2]
[90, 3150, 'off', 2]
[50, 3151, 'on', 5]
[74, 3151, 'off', 3]
[78, 3151, 'off for the first time', 3]
[81, 3151, 'off', 4]
[81, 3151, 'on', 4]
[86, 3151, 'off', 4]
[86, 3151, 'on', 4]
[93, 3151, 'off', 1]
[93, 3151, 'on', 2]
[90, 3161, 'on', 2]
[86, 3171, 'off', 4]
[86, 3171, 'on', 2]
[90, 3171, 'off', 2]
[90, 3180, 'on', 2]
[90, 3189, 'off', 2]
[38, 3190, 'on for the first and last time', 5]
[50, 3190, 'off', 5]
[93, 3190, 'off', 1]
[93, 3190, 'on', 2]
[90, 3199, 'on', 2]
[86, 3209, 'off', 4]
